[2026-08-12T17:38:23.777Z] ============================================
[2026-08-12T17:38:23.780Z] Print Agent dimulai
[2026-08-12T17:38:23.781Z] Server URL: http://IP_VPS_ANDA:3000
[2026-08-12T17:38:23.781Z] Interval polling: 5000 ms
[2026-08-12T17:38:23.781Z] ============================================
[2026-08-12T17:38:31.071Z] Tidak dapat terhubung ke server: fetch failed
[2026-08-12T17:38:31.072Z] Periksa kembali URL server dan koneksi internet. Agent tetap berjalan untuk mencoba ulang...
[2026-08-12T17:38:33.774Z] Polling error: fetch failed
[2026-08-12T17:38:41.497Z] Polling error: fetch failed
[2026-08-12T17:38:53.772Z] Polling error: fetch failed
[2026-08-12T17:39:01.479Z] Polling error: fetch failed
[2026-08-12T17:50:38.767Z] ============================================
[2026-08-12T17:50:38.783Z] Print Agent dimulai
[2026-08-12T17:50:38.784Z] Server URL: http://IP_VPS_ANDA:3000
[2026-08-12T17:50:38.784Z] Interval polling: 5000 ms
[2026-08-12T17:50:38.784Z] ============================================
[2026-08-12T17:50:46.136Z] Tidak dapat terhubung ke server: fetch failed
[2026-08-12T17:50:46.137Z] Periksa kembali URL server dan koneksi internet. Agent tetap berjalan untuk mencoba ulang...
[2026-08-12T17:50:48.839Z] Polling error: fetch failed
[2026-08-12T17:50:56.551Z] Polling error: fetch failed
[2026-08-12T17:51:08.835Z] Polling error: fetch failed
[2026-08-12T17:51:16.596Z] Polling error: fetch failed
[2026-08-12T17:51:28.878Z] Polling error: fetch failed
[2026-08-12T17:51:36.614Z] Polling error: fetch failed
[2026-08-12T17:51:48.865Z] Polling error: fetch failed
[2026-08-12T17:51:56.593Z] Polling error: fetch failed
[2026-08-12T17:52:08.879Z] Polling error: fetch failed
[2026-08-12T17:52:16.614Z] Polling error: fetch failed
[2026-08-12T17:52:28.885Z] Polling error: fetch failed
[2026-08-12T17:52:36.591Z] Polling error: fetch failed
[2026-08-12T17:52:48.841Z] Polling error: fetch failed
[2026-08-12T17:52:56.563Z] Polling error: fetch failed
[2026-08-12T17:53:08.832Z] Polling error: fetch failed
[2026-08-12T17:53:16.548Z] Polling error: fetch failed
[2026-08-12T17:53:28.834Z] Polling error: fetch failed
[2026-08-12T17:53:36.548Z] Polling error: fetch failed
[2026-08-12T17:53:48.811Z] Polling error: fetch failed
[2026-08-12T17:53:56.532Z] Polling error: fetch failed
[2026-08-12T17:54:08.804Z] Polling error: fetch failed
[2026-08-12T17:54:16.507Z] Polling error: fetch failed
[2026-08-12T17:54:28.781Z] Polling error: fetch failed
[2026-08-12T17:54:36.514Z] Polling error: fetch failed
[2026-08-12T17:54:48.789Z] Polling error: fetch failed
[2026-08-12T17:54:56.526Z] Polling error: fetch failed
[2026-08-12T17:55:08.799Z] Polling error: fetch failed
[2026-08-12T17:55:16.501Z] Polling error: fetch failed
[2026-08-12T17:55:28.755Z] Polling error: fetch failed
[2026-08-12T17:55:36.479Z] Polling error: fetch failed
[2026-08-12T17:55:48.778Z] Polling error: fetch failed
[2026-08-12T17:55:56.493Z] Polling error: fetch failed
[2026-08-12T17:56:08.769Z] Polling error: fetch failed
[2026-08-12T17:56:16.484Z] Polling error: fetch failed
[2026-08-12T17:56:28.783Z] Polling error: fetch failed
[2026-08-12T17:56:36.522Z] Polling error: fetch failed
[2026-08-12T17:56:48.806Z] Polling error: fetch failed
[2026-08-12T17:56:56.546Z] Polling error: fetch failed
[2026-08-12T17:57:08.824Z] Polling error: fetch failed
[2026-08-12T17:57:16.535Z] Polling error: fetch failed
[2026-08-12T17:57:28.806Z] Polling error: fetch failed
[2026-08-12T17:57:36.532Z] Polling error: fetch failed
[2026-08-12T17:57:48.813Z] Polling error: fetch failed
[2026-08-12T17:57:56.538Z] Polling error: fetch failed
[2026-08-12T17:58:08.812Z] Polling error: fetch failed
[2026-08-12T17:58:16.534Z] Polling error: fetch failed
[2026-08-12T17:58:28.834Z] Polling error: fetch failed
[2026-08-12T17:58:36.552Z] Polling error: fetch failed
[2026-08-12T17:58:48.829Z] Polling error: fetch failed
[2026-08-12T17:58:56.540Z] Polling error: fetch failed
[2026-08-12T17:59:08.809Z] Polling error: fetch failed
[2026-08-12T17:59:16.509Z] Polling error: fetch failed
[2026-08-12T17:59:28.790Z] Polling error: fetch failed
[2026-08-12T17:59:36.498Z] Polling error: fetch failed
[2026-08-12T17:59:48.778Z] Polling error: fetch failed
[2026-08-12T17:59:56.504Z] Polling error: fetch failed
[2026-08-12T18:00:08.785Z] Polling error: fetch failed
[2026-08-12T18:00:16.521Z] Polling error: fetch failed
[2026-08-12T18:00:28.807Z] Polling error: fetch failed
[2026-08-12T18:00:36.533Z] Polling error: fetch failed
[2026-08-12T18:00:48.802Z] Polling error: fetch failed
[2026-08-12T18:00:56.525Z] Polling error: fetch failed
[2026-08-12T18:01:08.809Z] Polling error: fetch failed
[2026-08-12T18:01:16.521Z] Polling error: fetch failed
[2026-08-12T18:01:28.827Z] Polling error: fetch failed
[2026-08-12T18:01:36.566Z] Polling error: fetch failed
[2026-08-12T18:01:48.855Z] Polling error: fetch failed
[2026-08-12T18:01:56.592Z] Polling error: fetch failed
[2026-08-12T18:02:08.873Z] Polling error: fetch failed
[2026-08-12T18:02:16.607Z] Polling error: fetch failed
[2026-08-12T18:02:28.877Z] Polling error: fetch failed
[2026-08-12T18:02:36.610Z] Polling error: fetch failed
[2026-08-12T18:02:48.887Z] Polling error: fetch failed
[2026-08-12T18:02:56.585Z] Polling error: fetch failed
[2026-08-12T18:03:08.875Z] Polling error: fetch failed
[2026-08-12T18:03:16.614Z] Polling error: fetch failed
[2026-08-12T18:03:28.902Z] Polling error: fetch failed
[2026-08-12T18:03:36.655Z] Polling error: fetch failed
[2026-08-12T18:03:48.947Z] Polling error: fetch failed
[2026-08-12T18:03:56.670Z] Polling error: fetch failed
[2026-08-12T18:04:08.964Z] Polling error: fetch failed
[2026-08-12T18:04:16.699Z] Polling error: fetch failed
[2026-08-12T18:04:28.966Z] Polling error: fetch failed
[2026-08-12T18:04:36.706Z] Polling error: fetch failed
[2026-08-12T18:04:48.997Z] Polling error: fetch failed
[2026-08-12T18:04:56.734Z] Polling error: fetch failed
[2026-08-12T18:05:09.010Z] Polling error: fetch failed
[2026-08-12T18:05:16.758Z] Polling error: fetch failed
[2026-08-12T18:05:29.009Z] Polling error: fetch failed
[2026-08-12T18:05:36.736Z] Polling error: fetch failed
[2026-08-12T18:05:49.022Z] Polling error: fetch failed
[2026-08-12T18:05:56.753Z] Polling error: fetch failed
[2026-08-12T18:06:09.017Z] Polling error: fetch failed
[2026-08-12T18:06:16.745Z] Polling error: fetch failed
[2026-08-12T18:06:29.041Z] Polling error: fetch failed
[2026-08-12T18:06:36.731Z] Polling error: fetch failed
[2026-08-12T18:06:49.006Z] Polling error: fetch failed
[2026-08-12T18:06:56.720Z] Polling error: fetch failed
[2026-08-12T18:07:09.006Z] Polling error: fetch failed
[2026-08-12T18:07:16.724Z] Polling error: fetch failed
[2026-08-12T18:07:29.007Z] Polling error: fetch failed
[2026-08-12T18:07:36.733Z] Polling error: fetch failed
[2026-08-12T18:07:49.038Z] Polling error: fetch failed
[2026-08-12T18:07:56.747Z] Polling error: fetch failed
[2026-08-12T18:08:09.011Z] Polling error: fetch failed
[2026-08-12T18:08:16.730Z] Polling error: fetch failed
